h3_res10,spatial_component_id,spatial_component_size,present_neighbor_count,is_spatial_island,spatial_test_status,gistar_z_score,gistar_p_value,gistar_q_value,spatial_hotspot_label
8a60145b30c7fff,1,2121,6,False,TESTED,1.1774685244132852,0.095,0.35764705433565025,NOT_SIGNIFICANT
8a60145b30cffff,1,2121,6,False,TESTED,-0.1946307368077647,0.427,0.4889530497185704,NOT_HOT
8a60145b30d7fff,1,2121,5,False,TESTED,0.08972501243647389,0.236,0.44225589065017556,NOT_SIGNIFICANT
8a60145b30dffff,1,2121,6,False,TESTED,-0.8182291375308451,0.027,0.22874245197652912,NOT_HOT
8a60145b30e7fff,1,2121,5,False,TESTED,3.4623638169057362,0.039,0.2695211323214249,NOT_SIGNIFICANT
8a60145b30effff,1,2121,6,False,TESTED,2.3500914198409677,0.029,0.2348720702705226,NOT_SIGNIFICANT
8a60145b30f7fff,1,2121,4,False,TESTED,1.3010456910246717,0.07,0.3273709307027488,NOT_SIGNIFICANT
8a60145b310ffff,1,2121,3,False,TESTED,-0.1835820755735901,0.48,0.4995878885112284,NOT_HOT
8a60145b312ffff,1,2121,1,False,TESTED,0.034159079970928465,0.499,0.4996789244567456,NOT_SIGNIFICANT
8a60145b3157fff,1,2121,3,False,TESTED,0.3618146778456795,0.229,0.43977560751281064,NOT_SIGNIFICANT
8a60145b31affff,553,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a60145b3207fff,1,2121,3,False,TESTED,0.03157062528054791,0.073,0.3316543161133189,NOT_SIGNIFICANT
8a60145b3217fff,1,2121,4,False,TESTED,0.23740915785457473,0.12,0.37783956374714084,NOT_SIGNIFICANT
8a60145b3227fff,1,2121,4,False,TESTED,1.0167156981407979,0.087,0.3524088830697753,NOT_SIGNIFICANT
8a60145b322ffff,1,2121,5,False,TESTED,0.8583518385008767,0.094,0.35754003943706975,NOT_SIGNIFICANT
8a60145b3257fff,1,2121,3,False,TESTED,0.11964473831450848,0.482,0.4995878885112284,NOT_SIGNIFICANT
8a60145b325ffff,1,2121,2,False,TESTED,-0.07481204846582873,0.488,0.4995878885112284,NOT_HOT
